coupon_id,product_id,store_loc,discount,expiration_date
1,101,85281,0.50,2025-05-15
2,102,85281,1.00,2025-05-15
3,103,85281,0.75,2025-05-10
4,104,85281,0.05,2025-05-20
5,105,85281,2.00,2025-05-25
6,106,85281,0.30,2025-05-15
7,107,85281,0.75,2025-05-10
8,108,85281,0.25,2025-05-30
9,109,85281,0.05,2025-05-20
10,110,85281,1.50,2025-05-25
11,111,85281,1.00,2025-05-30
12,112,85281,0.75,2025-05-15
13,113,85281,0.50,2025-05-20
14,114,85281,0.25,2025-05-30
15,115,85281,0.50,2025-05-25
16,116,85281,2.00,2025-05-15
17,117,85281,1.50,2025-05-10
18,118,85281,1.00,2025-05-20
19,119,85281,0.75,2025-05-25
20,120,85281,1.25,2025-05-30
21,121,85281,0.75,2025-05-15
22,122,85281,1.00,2025-05-15
23,123,85281,0.50,2025-05-10
24,124,85281,0.10,2025-05-20
25,125,85281,1.50,2025-05-25
26,126,85281,1.00,2025-05-15
27,127,85281,0.25,2025-05-10
28,128,85281,0.15,2025-05-30
29,129,85281,1.50,2025-05-20
30,130,85281,0.75,2025-05-25
31,141,85281,0.50,2025-05-30
32,142,85281,0.75,2025-05-15
33,143,85281,0.50,2025-05-20
34,144,85281,0.25,2025-05-30
35,145,85281,1.50,2025-05-25
36,146,85281,1.00,2025-05-15
37,147,85281,0.50,2025-05-10
38,148,85281,0.75,2025-05-20
39,149,85281,2.00,2025-05-25
40,150,85281,0.75,2025-05-30
