product_id,name,description,category,store_id,current_price,image_url
101,Whole Milk,DairyPure Milk 50 Skim Vanilla Milk,Dairy,1,4.29,https://target.scene7.com/is/image/Target/GUEST_ab4eb2196-d9ea-4ad3-9400-e7b300fe0b2d
102,Eggs,Cage Free Fresh Grade A Large Brown Eggs 12ct,Dairy,1,6.59,https://target.scene7.com/is/image/Target/GUEST_3ec62e42-7a7e-4819-999a-d29280ccc8d1
103,White Bread,Nature's Own Perfectly Crafted White Sandwich Bread,Bakery,1,3.89,https://target.scene7.com/is/image/Target/GUEST_58c5362f-e0a3-4f64-9859-4682f5cc6b5d
104,Banana,Bananas Goods and Gather single,Produce,1,0.29,https://target.scene7.com/is/image/Target/GUEST_d472adb4-58f9-4b23-8f4f-8579e4cd2fdb
105,Chicken Breast,Boneless Skinless Chicken Breast Value Pack 5.5lb,Meat,1,13.45,https://target.scene7.com/is/image/Target/GUEST_531198dd-5535-476a-b8b5-badfa9b55000
106,Ground Beef,All Natural 80/20 Ground Beef 1 lb,Meat,1,6.49,https://target.scene7.com/is/image/Target/GUEST_8712248c-1f49-4350-9bb3-3f64c13e40ce
107,Potatoes,Russet Potato single,Produce,1,0.75,https://target.scene7.com/is/image/Target/GUEST_c85af5f3-a0a4-48cd-867a-b16e0d90d395
108,Onions,Yellow Onion single,Produce,1,0.89,https://target.scene7.com/is/image/Target/GUEST_e38a14c1-5107-441f-b0aa-43dab7d353c9
109,Coffee,Starbucks Medium Roast Ground Coffee,Dry,1,9.89,https://target.scene7.com/is/image/Target/GUEST_d9e4906c-e643-4972-851a-4da66a54fe30
110,Rice,Jasmine Rice Good & Gather 2 lb,Dry,1,3.29,https://target.scene7.com/is/image/Target/GUEST_82f2bb17-587a-4e61-8b4b-1f4842fe118e
111,Apples,Honeycrisp Apples 2lb Bag,Produce,1,4.99,https://target.scene7.com/is/image/Target/GUEST_5e83f712-1e7d-4a98-b9e9-4d4dfe579196
112,Orange Juice,Simply Orange Juice 52oz,Beverages,1,4.79,https://target.scene7.com/is/image/Target/GUEST_12894e9c-044e-47a8-87a7-48c28b2bb36a
113,Cereal,Honey Nut Cheerios 18oz,Breakfast,1,3.99,https://target.scene7.com/is/image/Target/GUEST_a7fb4212-6f04-428e-a117-4468d11e433e
114,Pasta,Barilla Spaghetti 16oz,Dry,1,1.49,https://target.scene7.com/is/image/Target/GUEST_8afc15ce-a319-4db1-8855-3dc9318efa2b
115,Pasta Sauce,Ragu Traditional Pasta Sauce 24oz,Canned,1,2.79,https://target.scene7.com/is/image/Target/GUEST_a348e48d-39d6-4254-9e22-8cac42f960b4
116,Paper Towels,Bounty Select-A-Size 6 Rolls,Household,1,9.99,https://target.scene7.com/is/image/Target/GUEST_f9f911f6-0129-4b99-8a1a-2909c4d95db6
117,Laundry Detergent,Tide Original 64 loads,Household,1,11.99,https://target.scene7.com/is/image/Target/GUEST_417a0114-5f7f-4ecf-8b8a-9a2da7e52100
118,Yogurt,Chobani Greek Yogurt Vanilla 32oz,Dairy,1,5.49,https://target.scene7.com/is/image/Target/GUEST_87b201d1-e90e-4778-9798-7d7e269550c8
119,Ice Cream,Ben & Jerry's Half Baked 16oz,Frozen,1,4.99,https://target.scene7.com/is/image/Target/GUEST_81935e8b-1e3a-4e0c-9068-a67f9a7c924f
120,Frozen Pizza,DiGiorno Rising Crust Pepperoni,Frozen,1,6.99,https://target.scene7.com/is/image/Target/GUEST_cefa2c2e-ae23-42cd-bf3d-2fcc01bd7a39
121,Organic Milk,Horizon Organic Whole Milk 1/2 Gallon,Dairy,2,4.99,https://www.frysfood.com/product/0074117201036
122,Cage-Free Eggs,Frys Simple Truth Cage-Free Large Brown Eggs 12ct,Dairy,2,5.99,https://www.frysfood.com/product/0001111089188
123,Whole Wheat Bread,Dave's Killer Bread 21 Whole Grains,Bakery,2,5.49,https://www.frysfood.com/product/0001376300034
124,Organic Bananas,Simple Truth Organic Bananas per lb,Produce,2,0.69,https://www.frysfood.com/product/0000000094011
125,Chicken Thighs,Simple Truth Boneless Skinless Chicken Thighs 2lb,Meat,2,9.99,https://www.frysfood.com/product/0002048210000
126,Grass-Fed Beef,Simple Truth Grass-Fed 85/15 Ground Beef 1lb,Meat,2,7.99,https://www.frysfood.com/product/0001111091830
127,Sweet Potatoes,Organic Sweet Potatoes per lb,Produce,2,1.49,https://www.frysfood.com/product/0000000000168
