pref_id,user_id,product_id,price_threshold,notify_if_on_sale
1,1,101,0.55,true
2,1,104,3.00,true
3,1,107,0.65,true
4,1,110,3.00,true
5,1,113,3.50,true
6,2,102,5.99,true
7,2,105,12.50,true
8,2,108,0.75,true
9,2,111,4.50,true
10,2,110,4.50,true
11,3,105,2.75,true
12,3,109,9.00,true
13,3,120,6.50,true
14,3,121,4.50,true
15,3,124,0.60,true
16,4,103,3.50,true
17,4,106,5.50,true
18,4,114,1.25,true
19,4,121,4.50,true
20,4,141,3.50,true
21,5,122,5.50,true
22,5,126,7.00,true
23,5,131,4.00,true
24,5,145,8.75,true
25,5,155,8.00,true
